"Armenia","94","100","83","48","45","","93","100","83","48","45","","93","99","82","48","45","","93","99","82","48","45","","92","98","82","48","45","","92","98","81","48","45","","91","97","81","48","45","","91","97","81","48","45","","91","96","80","48","45","","90","96","80","48","45","","90","96","80","48","45","","89","95","79","48","45","","89","95","79","48","45","","88","94","78","48","45","","88","94","78","48","45","","88","93","78","48","45","","87","93","77","47","45","","87","92","77","47","45",""
"Australia","100","","","76","","","100","","","75","","","100","","","74","","","100","","","73","","","100","","","72","","","100","","","71","","","100","","","70","","","100","","","69","","","100","","","69","","","100","","","68","","","100","","","67","","","100","","","66","","","100","","","65","","","100","","","64","","","100","","","64","","","100","","","64","","","100","","","64","","","100","","","64","",""
"Austria","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92","100","100","100","97","100","92"
"Azerbaijan","93","96","88","","92","","92","96","88","","92","","92","96","88","","92","","91","96","85","","92","","89","95","83","","91","","87","92","81","","89","","85","90","78","","87","","83","88","76","","85","","80","86","73","","83","","78","84","71","","81","","76","82","69","","79","","74","80","66","","77","","72","79","64","","75","","69","77","62","","74","","68","76","59","","73","","66","75","57","","72","","65","74","55","","71","","63","73","53","","70",""
"Bahamas","95","","","","","","95","","","","","","95","","","","","","95","","","","","","94","","","","","","94","","","","","","93","","","","","","93","","","","","","92","","","","","","92","","","","","","91","","","","","","91","","","","","","90","","","","","","90","","","","","","89","","","","","","89","","","","","","88","","","","","","88","","","","",""
"Bahrain","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","","","100","","","96","",""
"Bangladesh","48","51","47","","","32","47","50","45","","","31","46","50","44","","","30","44","50","42","","","29","43","49","40","","","28","42","49","38","","","26","41","49","37","","","25","39","49","35","","","24","38","48","33","","","23","37","48","32","","","22","35","48","30","","","21","34","48","29","","","20","32","47","27","","","19","31","47","25","","","17","30","46","24","","","17","28","45","23","","","16","27","45","21","","","15","26","44","20","","","14"
"Barbados","97","","","","","","97","","","","","","96","","","","","","96","","","","","","95","","","","","","95","","","","","","94","","","","","","94","","","","","","93","","","","","","93","","","","","","92","","","","","","92","","","","","","91","","","","","","91","","","","","","90","","","","","","90","","","","","","89","","","","","","89","","","","",""
"Belarus","98","98","96","81","82","76","98","98","96","80","81","77","98","98","96","82","83","78","98","98","96","83","84","79","97","97","96","83","84","80","97","97","96","84","85","82","96","96","96","85","85","83","95","95","96","86","86","85","95","94","96","86","86","86","94","94","96","87","87","87","94","93","96","88","87","89","93","92","96","88","87","90","93","91","96","89","88","91","92","91","96","89","88","93","92","90","96","90","88","94","92","90","96","90","88","94","92","90","96","90","88","94","92","90","96","90","88","94"
"Belgium","99","99","99","97","","","99","99","99","97","","","99","99","99","97","","","99","99","99","95","","","99","99","99","93","","","99","99","99","92","","","99","99","99","91","","","99","99","99","90","","","99","99","99","90","","","99","99","99","89","","","99","99","99","88","","","99","99","99","88","","","99","99","99","87","","","99","99","99","86","","","99","99","99","86","","","99","99","99","86","","","99","99","99","86","","","99","99","99","86","",""
