"Armenia","100","100","100","86","","","100","100","100","83","","","100","100","100","79","","","100","100","99","76","","","99","100","98","72","","","99","100","98","69","","","99","100","97","65","","","98","99","96","62","","","98","99","95","58","","","98","99","95","55","","","97","99","94","51","","","97","99","93","47","","","97","99","92","44","","","96","99","92","40","","","96","99","91","37","","","96","99","90","33","","","95","99","89","30","","","95","99","89","30","",""
"Australia","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","100","","99","","100","100","99","","98","","100","100","99","","98","","100","100","99","","98","","100","100","99","","98","","100","100","99","","98","","100","100","99","","98","","100","100","99","","98","","100","100","99","","98",""
"Austria","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","",""
"Azerbaijan","91","99","82","74","","","91","99","80","73","","","90","99","79","72","","","89","99","78","72","","","89","99","77","71","","","88","98","76","71","","","87","98","75","70","","","87","98","74","69","","","86","98","72","66","","","85","98","71","63","","","84","97","69","61","","","82","96","67","58","","","81","95","65","56","","","79","94","63","53","","","78","93","61","51","","","76","93","59","51","","","75","92","57","50","","","73","91","55","50","",""
"Bahamas","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","99","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","",""
"Bahrain","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","","","100","","","99","",""
"Bangladesh","97","97","97","55","45","61","97","97","97","55","45","61","97","98","96","56","45","61","97","98","96","56","45","61","97","98","96","56","45","61","97","98","96","56","45","61","97","98","96","56","45","61","96","98","96","56","45","61","96","98","96","56","45","61","96","98","95","56","45","60","96","98","95","56","45","60","96","98","95","56","45","60","96","99","95","56","45","60","96","99","95","56","45","60","96","99","95","56","45","60","96","99","95","56","45","60","95","99","94","56","45","60","95","99","94","56","45","59"
"Barbados","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","",""
"Belarus","96","96","98","95","","","96","96","98","94","","","96","96","98","94","","","96","96","98","94","","","97","96","98","93","","","97","97","98","92","","","97","97","98","91","","","98","97","98","90","","","98","98","99","89","","","98","98","99","88","","","98","98","99","86","","","99","99","99","85","","","99","99","99","84","","","99","99","99","83","","","99","99","99","81","","","99","99","99","81","","","99","99","99","81","","","99","99","99","81","",""
"Belgium","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","",""
"Belize","98","99","97","","","","98","99","96","","","","97","99","96","","","","97","99","95","","","","96","98","94","","","","95","98","93","","","","95","97","93","","","","94","97","92","","","","93","96","91","","","","93","96","90","","","","92","95","89","","","","91","94","89","","","","91","94","88","","","","90","93","87","","","","89","93","87","","","","89","92","86","","","","88","92","85","","","","87","91","84","","",""
